,cod_location,date_id,total_cases
32860,132,20201025,13.0
32861,132,20201026,13.0
32862,132,20201027,13.0
32863,132,20201028,13.0
32864,132,20201029,13.0
33126,133,20201025,194461.0
33127,133,20201026,197481.0
33128,133,20201027,199745.0
33129,133,20201028,203733.0
33130,133,20201029,207718.0
33347,134,20201025,11895.0
33348,134,20201026,11986.0
33349,134,20201027,12161.0
33350,134,20201028,12273.0
33351,134,20201029,12415.0
33569,135,20201025,43788.0
33570,135,20201026,44774.0
33571,135,20201027,46200.0
33572,135,20201028,47666.0
33573,135,20201029,49072.0
33798,136,20201025,12579.0
33799,136,20201026,12660.0
33800,136,20201027,12675.0
33801,136,20201028,12729.0
33802,136,20201029,12806.0
34102,137,20201025,155233.0
34103,137,20201026,158089.0
34104,137,20201027,159830.0
34105,137,20201028,160400.0
34106,137,20201029,162354.0
34406,138,20201025,280731.0
34407,138,20201026,290925.0
34408,138,20201027,301249.0
34409,138,20201028,311532.0
34410,138,20201029,329321.0
34629,139,20201025,27.0
34630,139,20201026,27.0
34631,139,20201027,27.0
34632,139,20201028,27.0
34633,139,20201029,27.0
34933,140,20201025,1579.0
34934,140,20201026,1584.0
34935,140,20201027,1585.0
34936,140,20201028,1587.0
34937,140,20201029,1593.0
35158,141,20201025,5434.0
35159,141,20201026,5434.0
35160,141,20201027,5434.0
35161,141,20201028,5514.0
35162,141,20201029,5514.0
35381,142,20201025,1215.0
35382,142,20201026,1215.0
35383,142,20201027,1215.0
35384,142,20201028,1218.0
35385,142,20201029,1218.0
35685,143,20201025,61930.0
35686,143,20201026,61992.0
35687,143,20201027,62111.0
35688,143,20201028,62224.0
35689,143,20201029,62371.0
35898,144,20201025,88.0
35899,144,20201026,92.0
35900,144,20201027,92.0
35901,144,20201028,92.0
35902,144,20201029,92.0
36202,145,20201025,17232.0
36203,145,20201026,17232.0
36204,145,20201027,17908.0
36205,145,20201028,18341.0
36206,145,20201029,18663.0
36506,146,20201025,111837.0
36507,146,20201026,112932.0
36508,146,20201027,113354.0
36509,146,20201028,113820.0
36510,146,20201029,114434.0
36810,147,20201025,327895.0
36811,147,20201026,328602.0
36812,147,20201027,329375.0
36813,147,20201028,330200.0
36814,147,20201029,331108.0
37047,148,20201025,61593.0
37048,148,20201026,62046.0
37049,148,20201027,62046.0
37050,148,20201028,63164.0
37051,148,20201029,63614.0
37282,149,20201025,128515.0
37283,149,20201026,129200.0
37284,149,20201027,129751.0
37285,149,20201028,130422.0
37286,149,20201029,131247.0
37505,150,20201025,583.0
37506,150,20201026,588.0
37507,150,20201027,588.0
37508,150,20201028,588.0
37509,150,20201029,588.0
37742,151,20201025,59043.0
37743,151,20201026,59594.0
37744,151,20201027,59594.0
37745,151,20201028,60557.0
37746,151,20201029,61290.0
37987,152,20201025,886214.0
37988,152,20201026,888715.0
37989,152,20201027,890574.0
37990,152,20201028,892497.0
37991,152,20201029,894928.0
38291,153,20201025,367819.0
38292,153,20201026,370028.0
38293,153,20201027,371630.0
38294,153,20201028,373144.0
38295,153,20201029,375180.0
38529,154,20201025,241946.0
38530,154,20201026,253688.0
38531,154,20201027,263929.0
38532,154,20201028,280229.0
38533,154,20201029,299049.0
38776,155,20201025,116109.0
38777,155,20201026,118686.0
38778,155,20201027,121133.0
38779,155,20201028,124432.0
38780,155,20201029,128392.0
38992,156,20201025,61280.0
38993,156,20201026,62503.0
38994,156,20201027,63122.0
38995,156,20201028,63497.0
38996,156,20201029,63587.0
39296,157,20201025,130965.0
39297,157,20201026,131170.0
39298,157,20201027,131432.0
39299,157,20201028,131689.0
39300,157,20201029,131939.0
39600,158,20201025,205793.0
39601,158,20201026,209648.0
39602,158,20201027,212492.0
39603,158,20201028,217216.0
39604,158,20201029,222559.0
39904,159,20201025,1497167.0
39905,159,20201026,1513877.0
39906,159,20201027,1531224.0
39907,159,20201028,1547774.0
39908,159,20201029,1563976.0
40133,160,20201025,5060.0
40134,160,20201026,5066.0
40135,160,20201027,5073.0
40136,160,20201028,5084.0
40137,160,20201029,5129.0
40351,161,20201025,19.0
40352,161,20201026,19.0
40353,161,20201027,19.0
40354,161,20201028,19.0
40355,161,20201029,19.0
40580,162,20201025,52.0
40581,162,20201026,54.0
40582,162,20201027,63.0
40583,162,20201028,63.0
40584,162,20201029,73.0
40806,163,20201025,73.0
40807,163,20201026,73.0
40808,163,20201027,73.0
40809,163,20201028,74.0
40810,163,20201029,74.0
41110,164,20201025,819.0
41111,164,20201026,819.0
41112,164,20201027,852.0
41113,164,20201028,852.0
41114,164,20201029,927.0
41314,165,20201025,940.0
41315,165,20201026,940.0
41316,165,20201027,941.0
41317,165,20201028,941.0
41318,165,20201029,943.0
41556,166,20201025,344552.0
41557,166,20201026,344875.0
41558,166,20201027,345232.0
41559,166,20201028,345631.0
41560,166,20201029,346047.0
41801,167,20201025,15543.0
41802,167,20201026,15551.0
41803,167,20201027,15565.0
41804,167,20201028,15571.0
41805,167,20201029,15582.0
42048,168,20201025,38872.0
42049,168,20201026,39486.0
42050,168,20201027,39827.0
42051,168,20201028,40880.0
42052,168,20201029,42208.0
42277,169,20201025,153.0
42278,169,20201026,153.0
42279,169,20201027,153.0
42280,169,20201028,153.0
42281,169,20201029,153.0
42489,170,20201025,2345.0
42490,170,20201026,2346.0
42491,170,20201027,2346.0
42492,170,20201028,2350.0
42493,170,20201029,2354.0
42793,171,20201025,57965.0
42794,171,20201026,57970.0
42795,171,20201027,57973.0
42796,171,20201028,57980.0
42797,171,20201029,57987.0
43029,172,20201025,780.0
43030,172,20201026,784.0
43031,172,20201027,789.0
43032,172,20201028,789.0
43033,172,20201029,805.0
43267,173,20201025,40801.0
43268,173,20201026,43843.0
43269,173,20201027,45155.0
43270,173,20201028,46056.0
43271,173,20201029,48943.0
43510,174,20201025,21277.0
43511,174,20201026,22950.0
